timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1705501073599,2849,createRepoRequest_tere123,201,Created,GitLabJmeter 1-1,text,false,"The operation lasted too long: It took 2,849 milliseconds, but should not have lasted longer than 1,500 milliseconds.",5810,269,1,1,https://gitlab.com/api/v4/projects,2848,0,494
1705501076486,886,addFileToRepoRequest_tere123,201,Created,GitLabJmeter 1-1,text,true,,1256,349,1,1,https://gitlab.com/api/v4/projects/53958606/repository/files/test.py,886,0,0
1705501077373,859,addNewBranch_tere123,201,Created,GitLabJmeter 1-1,text,true,,1989,305,1,1,https://gitlab.com/api/v4/projects/53958606/repository/branches?branch=ttest&ref=main,859,0,0
1705501078234,236,deleteRepo_tere123,202,Accepted,GitLabJmeter 1-1,text,true,,1179,265,1,1,https://gitlab.com/api/v4/projects/53958606,236,0,0
1705501078471,1463,createRepoRequest_tere1234,201,Created,GitLabJmeter 1-1,text,true,,5968,270,1,1,https://gitlab.com/api/v4/projects,1462,0,0
1705501079936,927,addFileToRepoRequest_tere1234,201,Created,GitLabJmeter 1-1,text,true,,1407,333,1,1,https://gitlab.com/api/v4/projects/53958609/repository/files/rest.html,927,0,0
1705501080866,834,addNewBranch_tere1234,201,Created,GitLabJmeter 1-1,text,true,,1989,305,1,1,https://gitlab.com/api/v4/projects/53958609/repository/branches?branch=ttest&ref=main,834,0,0
1705501081701,676,deleteRepo_tere1234,202,Accepted,GitLabJmeter 1-1,text,true,,1167,265,1,1,https://gitlab.com/api/v4/projects/53958609,676,0,0
1705501082378,1253,createRepoRequest_tere12345,201,Created,GitLabJmeter 1-1,text,true,,5826,271,1,1,https://gitlab.com/api/v4/projects,1252,0,0
1705501083633,833,addFileToRepoRequest_tere12345,201,Created,GitLabJmeter 1-1,text,true,,1264,338,1,1,https://gitlab.com/api/v4/projects/53958613/repository/files/hikolos.txt,832,0,0
1705501084466,801,addNewBranch_tere12345,201,Created,GitLabJmeter 1-1,text,true,,2138,305,1,1,https://gitlab.com/api/v4/projects/53958613/repository/branches?branch=ttest&ref=main,801,0,0
1705501085268,756,deleteRepo_tere12345,202,Accepted,GitLabJmeter 1-1,text,true,,1181,265,1,1,https://gitlab.com/api/v4/projects/53958613,756,0,0
1705501086025,1279,createRepoRequest_tere123456,201,Created,GitLabJmeter 1-1,text,true,,5843,272,1,1,https://gitlab.com/api/v4/projects,1278,0,0
1705501087305,995,addFileToRepoRequest_tere123456,201,Created,GitLabJmeter 1-1,text,true,,1261,334,1,1,https://gitlab.com/api/v4/projects/53958618/repository/files/bike.bat,995,0,0
1705501088301,789,addNewBranch_tere123456,201,Created,GitLabJmeter 1-1,text,true,,1991,305,1,1,https://gitlab.com/api/v4/projects/53958618/repository/branches?branch=ttest&ref=main,789,0,0
1705501089091,651,deleteRepo_tere123456,202,Accepted,GitLabJmeter 1-1,text,true,,1173,265,1,1,https://gitlab.com/api/v4/projects/53958618,650,0,0
1705501089743,2168,createRepoRequest_tere1234567,201,Created,GitLabJmeter 1-1,text,false,"The operation lasted too long: It took 2,168 milliseconds, but should not have lasted longer than 1,500 milliseconds.",5840,273,1,1,https://gitlab.com/api/v4/projects,2167,0,0
